Tribe,Label,Institution,State/Area,County,Site,ID,MNI,AFO,Collection History,Age/Culture,AFO,Note
Menominee Indian Tribe of Wisconsin,Menominee,"Univ. of Wisconsin, Stevens Point",Wisconsin,Portage,Bigelow-Hamilton (47-Pr-29),N/A,2,71,"In the late 1950s, human remains were removed fromm the Bigelow-Hamilton site (47-Pr-29), Portage County, WI, by George Dixon. Mr. Dixon subsequently donated the human remains and associated funerary objects to the University of Wisconsin-Stevens Point. No known individuals were identified. Most of the human remains and associated funerary objects were reinterred in 1986 and 1987 at the request of the Wisconsin Winnebago Tribe, now called the Ho-Chunk Nation of Wisconsin. In 1994, 1995, and 2001, additional human remains representing a minimum of two individuals and associated funerary objects from  the Bigelow-Hamilton site were discovered in the University of Wisconsin-Stevens Point collections.",,"1 fragment of mink or otter  fur, 2 textile fragments, 9 shell fragments, 6 stone tools, 48 stone flakes, 3 Madison Plain sherds, and 2 cord-impressed sherds",
Menominee Indian Tribe of Wisconsin,Menominee,"Wisconsin Historical Society, Museum Division",Wisconsin,Door,Rock Island Site II,None,12,228,Excavated by Lawrence University and Ronald J. and Carol I. Mason in 1969-1973. The remains are under the control of the Wisconsin Historical Society but in the possession of Lawrence University and have been in their possession since excavation; it was only recently determined that they were under the Historical Society's control.,Middle Woodland period to Historic times,"14 lots of wood fragments from coffins, 20 lots of beads, 3 samples of red ochre, 2 spoons, 2 samples of vermilion, 1 polish pebble, 7 brass trade kettles, 3 unidentifiable objects, 1 cut and polish shell, 1 lot of silver brooches, 18 individual brooches, 6 silver brooches attached to a fabric fragment, 10 earrings, 1 bell or cup, 3 pendants, 1 wooden paint box, 1 perforated elk tooth, 1 lot of tinklets, 5 individual tinklers, 1 thimble, 10 lots of textile fragments, 1 silver cross, 4 armbands, 5 knives, 1 weasel skull and mandible, 1 lot of burned faunal remains, 3 firesteels, 2 awls, 1 catlinite pipe, 2 necklaces, 7 Jesuit rings, 2 samples of charred organic materials, 1 musket, 1 French perfume bottle, 6 gunflints, 1 musket ball, 4 pieces of shot, 2 hairpullers, 1 mirror in shards, 1 sheet of folded brass, 1 kettle handle, 1 pipe tomahawk heada, 1 lot of nails, 1 lot of bird bone tubes, 1 lot of antler fragments, 2 bells, 8 scraps of brass, 8 pieces of brass wire, 1 piece of cut iron, 1 piece of lead, 2 pieces of worked wood, 3 silver cylinders, 1 embellished antler tine, 1 carved stone, 2 pot sherds, 20 flint chips, 1 bone comb, 2 ear ornaments, 1 hafted iron ax, 1 cup, 1 French pistol, 2 brass bells, 8 bracelets, 1 limestone cobble, and 1 plaque",Amended inventory received July and Dec 2016. This site is under control of WHS in the possession of Lawrence University. Culturally affiliated with the Tribes of the notice
"Forest County Potawatomi Community of Wisconsin Potawatomi Indians, Wisconsin",ForestCountyPotawatomi,American Museum of Natural History,Illinois,La Salle,Peru,N/A,2,0,"At an unknown date, human remains representing a minimum of two individuals from the vicinity of Peru, La Salle County,  IL, were obtained by the Giffort brothers. The American Museum of Natural History has no information regarding who collected these remains or their collection date. The American Museum of Natural History acquired these remains as a purchase from the Giffort brothers in 1896.",Pottawatomie,None,"culturally affiliated with the Citizen Potawatomi Nation, Oklahoma; Forest County Potawatomi Community of Wisconsin Potawatomi Indians, Wisconsin; Hannahville Indian Community of Wisconsin Potawatomie Indians of Michigan; Huron Potawatomi, Inc., Michigan; Pokagon Band of Potawatomi Indians of Michigan; and Prairie Band of Potawatomi Indians, Kansas."
"Forest County Potawatomi Community of Wisconsin Potawatomi Indians, Wisconsin",ForestCountyPotawatomi,Field Museum of Natural History,Illinois,N/A,"""Old Potowotamie Graveyard""",N/A,1,0,"In 1933, human remains representing a minimum of one individual were removed fromm a site along the Fox River in Illinois by C.N. Ackerman. In November of the same year, Mr. Ackerman donated the human remains to the Field Museum of Natural History. The records identify the human remains as ""female middle age""  from an ""Old Potowotamie Graveyard, Fox River Ills. Burials in this place prior to 1837.""",,,
"Forest County Potawatomi Community of Wisconsin Potawatomi Indians, Wisconsin",ForestCountyPotawatomi,"Oregon State Univ., Dept. of Anthropology",Illinois,Fisher,Fisher Mounds,"NE001-805-2118, UNKNO-3EM-0001, NE001-805-0118",1,0,"On an unknown date, human remains representing a minimum of one individual were removed from Fisher Mounds, Will County, IL, by an unknown individual. In 1976, the human remains were donated to the Department of Anthropology by the son of Geog Karl Neumann. Dr. Neumann worked as a physical anthropologist for Indiana State University, Terre Haute, IN.",,none,"originally CUI subsequently CA pub'l in FR dated 5/26/2009 to Citizen Potawatomi Nation of Oklahoma; Forest County Potawatomi Community of Wisconsin; Hannahville Indian Community, Michigan; Ho-Chunk Nation of Wisconnsin; Iowa Tribe of Kansas and Nebraska; Iowa Tribe of Oklahoma; Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas; Kickapoo Tribe of Oklahoma; Miami Tribe of Oklahoma; Otoe-Missouria Tribe of Indians of Oklahoma; Peoria Tribe of Indians of Oklahoma; Pokagon Band of Potawatomi Indians of Michigan and Indiania; Prairie Band of Potawatomi Nation of Kansas; Sac&Fox Tribe of the Mississippi in Iowa; Sac & Fox Nation of Missouri in Kansas and Nebraska; Sac & Fox Nation of Oklahoma; Sahwnee Tribe, Oklahoma; and Winnebago Tribe of Nebraska."
"Forest County Potawatomi Community of Wisconsin Potawatomi Indians, Wisconsin",ForestCountyPotawatomi,Field Museum of Natural History,Michigan,Oceana,Dumaw Creek,Accession #: 2656 Catalog #: various,42,83,"In 1915 and 1916, human remains representing, at minimum, 42 individuals were removed from the Dumaw Creek site in Oceana County, MI, by a local farmer, Carl Schrumpf. Mr. Schrumpf sold his collection to Mr. H. E. Sargent of Grand Rapids, MI, who, in turn, sold a large portion of the collection to Mr. Charles Nelson in the late 1920s or early 1930s. The Columbian Natural History Museum’s Department of Zoology purchased this material in 1958 from the estate of Mr. Charles Nelson. The collection was transferred from Zoology to the Anthropology Department in March 1959.",ancient North American Indian,"one woven bag of buffalo hair and five bag fragments, one bag of weasel skin, one leather bag or pouch, six braided leather thongs, two leather bag parts and one piece of leather, one woven bag of beaver skin, two fragments of beaver skin, one section of elk skin and hair, one section of black bear skin and hair, one fragment of raccoon skin, 15 copper hair ornaments, one hair plaque fragment, 17 bead fragments, one part of a headdress, one lot of copper hair beads, about 37 hair pipes, 66 projectile points, 15 knives, four beads on a thong, one part of a bear skin, 10 thong fragments, two cord fragments, leather and thongs, braided grass, two wood fragments, one mussel shell, one wooden shaft fragment, one thorn, roughly 100 pumpkin seeds, one box of roughly ten bag remnants, six hawk beak culmens, three bird tail fragments, one box of leaf fragments, one seed, one bone bead, one shell bead, two celts, one tinkling cone, eight animal skin fragments from the above animals, two awls, one spear, six beaver incisors, about 208 beads, approximately 3,200 small shell beads, one lump of ochre, two shell pendants, three effigy pendants, one pendant, two grass fragments, and one box of powdered ochre.","originally inventoried as culturally unidentifiable subsequently culturally affiliated with the Forest County Potawatomi Community, Wisconsin; Hannahville Indian Community, Michigan; Kickapoo Traditional Tribe of Texas; Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas; Kickapoo Tribe of Oklahoma; Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan; Menominee Indian Tribe of Wisconsin; Miami Tribe of Oklahoma; Nottawaseppi Huron Band of Potawatomi, Michigan (previously listed as the Huron Potawatomi, Inc.); Peoria Tribe of Indians of Oklahoma; Pokagon Band of Potawatomi Indians, Michigan and Indiana; and the Prairie Band Potawatomi Nation (previously listed as the Prairie Band of Potawatomi Nation, Kansas). Repatriated on May 17, 2014"
"Forest County Potawatomi Community of Wisconsin Potawatomi Indians, Wisconsin",ForestCountyPotawatomi,Milwaukee Public Museum,Wisconsin,Calumet,(47-CT-38),N/A,1,145,"In 1877, human remains representing one individual were removed from a grave (47-CT-38) on the property of J. Berg, Rantoul, Calument County, WI, by H.H. Hayssen of New Holstein, WI. Mr. Hayssen sold the remains and associated funerary objects to the Milwaukee Public Museum in 1897.",,"19 copper alloy bracelets, copper alloy chains with finer rings, ear/hair ornaments of shell beads, thimbles, erminie tails, glass beads, chains, coins, silver ornaments, silk and cotton clothing gragments with silver ring-and-ball ornaments, German silver brooches, glass bead edging, 2 small pocket mirros, 20 thimbles made into hair ornaments, a copper alloy finger ring, red ochre chunks, a perforated metal disc, shell beads, a musket ball, a miniature china teapot, an iron kettle, a porcelain basin and pitcher, 5 cowry shells, glass and shell beads, 6 small beadaed bags, a kaolin pipe, and wooden matches.",
"Forest County Potawatomi Community of Wisconsin Potawatomi Indians, Wisconsin",ForestCountyPotawatomi,"Wisconsin Historical Society, Historic Preservation Division",Wisconsin,Manitowoc,Island Village Site (47-MN-0101),Catalogue #: HP.MN-0101.1,4,4,"In 1989, DNR employees discovered remains & artifacts eroding fromm a plowed portion of the site.",historicallly documented territory of the Potawatomi and the Menominee,"1 silver brooch, 1 lot of 5 cooper bracelets, 1 copper pricture frame mat, a group of seed beads","culturally affiliated with the Forest County Potawatomi Community, Wisconsin; Hannahville Indian Community, Michigan; Match-e-be-nash- she-wish Band of Pottawatomi Indians or Michigan; Nottawaseppi Huron Band of the Potawatomi; and the Pokagon Band of Potawatomi Indians, Michigan and Indiana"
"Forest County Potawatomi Community of Wisconsin Potawatomi Indians, Wisconsin",ForestCountyPotawatomi,"Wisconsin Historical Society, Museum Division",Wisconsin,Door,Rock Island Site II,None,12,228,Excavated by Lawrence University and Ronald J. and Carol I. Mason in 1969-1973. The remains are under the control of the Wisconsin Historical Society but in the possession of Lawrence University and have been in their possession since excavation; it was only recently determined that they were under the Historical Society's control.,Middle Woodland period to Historic times,"14 lots of wood fragments from coffins, 20 lots of beads, 3 samples of red ochre, 2 spoons, 2 samples of vermilion, 1 polish pebble, 7 brass trade kettles, 3 unidentifiable objects, 1 cut and polish shell, 1 lot of silver brooches, 18 individual brooches, 6 silver brooches attached to a fabric fragment, 10 earrings, 1 bell or cup, 3 pendants, 1 wooden paint box, 1 perforated elk tooth, 1 lot of tinklets, 5 individual tinklers, 1 thimble, 10 lots of textile fragments, 1 silver cross, 4 armbands, 5 knives, 1 weasel skull and mandible, 1 lot of burned faunal remains, 3 firesteels, 2 awls, 1 catlinite pipe, 2 necklaces, 7 Jesuit rings, 2 samples of charred organic materials, 1 musket, 1 French perfume bottle, 6 gunflints, 1 musket ball, 4 pieces of shot, 2 hairpullers, 1 mirror in shards, 1 sheet of folded brass, 1 kettle handle, 1 pipe tomahawk heada, 1 lot of nails, 1 lot of bird bone tubes, 1 lot of antler fragments, 2 bells, 8 scraps of brass, 8 pieces of brass wire, 1 piece of cut iron, 1 piece of lead, 2 pieces of worked wood, 3 silver cylinders, 1 embellished antler tine, 1 carved stone, 2 pot sherds, 20 flint chips, 1 bone comb, 2 ear ornaments, 1 hafted iron ax, 1 cup, 1 French pistol, 2 brass bells, 8 bracelets, 1 limestone cobble, and 1 plaque",Amended inventory received July and Dec 2016. This site is under control of WHS in the possession of Lawrence University. Culturally affiliated with the Tibes in the notice
"Forest County Potawatomi Community of Wisconsin Potawatomi Indians, Wisconsin",ForestCountyPotawatomi,"Wisconsin Historical Society, Museum Division",Wisconsin,Taylor,Indian Farms [47-Ta-0018],Catalog #: F2005.4 Accession #: 47 Ta-18,1,0,"In 1966, human remains representing a minimum of one individual were removed fromm Indian Farms [47-Ta-0018], in Taylor County, WI. On July 17, 1966, archeologists from the Wisconsin Historical Society visited Indian Farms to investigate a report of recent looting. The archeologist contact local law enforcement and recovered the fragementary remains of a child found on the ground surface. The fragmentary remains were brought back to the Wisconsin Historical Society.",Potawatomi or Ojibwe,"Culturally affiliated with the Forest County Potawatomi Community, Wisconsin",
Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,RedCliff,Univ. of Michigan Museum of Anthropology,Michigan,Arenac,20.2055/20AC19 Garry Site,Accession #: 3645,1,0,"Human skeletal remains encountered when a trench waas dug. Salvage excavation was conducted by C.Crumley et al. in 1971, and the human remains were transferred to the UMMA from the Michigan State Police (case #32-1003-71-5.1).",1760 AD-1820 AD,none,"Culturally affiliated to the Chippewa-Cree Indians of the Rocky Boy’s Reservation, Montana; Saginaw Chippewa Indian Tribe of Michigan; and Sault Ste. Marie Tribe of Chippewa Indians, Michigan, Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota; Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Keweenaw Bay Indian Community, Michigan; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; Red Lake Band of Chippewa Indians, Minnesota; St. Croix Chippewa Indians of Wisconsin; Sokaogon Chippewa Community, Wisconsin; Turtle Mountain Band of Chippewa Indians of North Dakota; and White Earth Band of the Minnesota Chippewa Tribe, Minnesota"
Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,RedCliff,Univ. of Pennsylvania Museum of Archaeology and Anthropology,Michigan,Baraga,Pequaming,Museum Catalogue No. 97-563-10643,1,0,"At an unknown collection date, collected by Morgan Hebard prior to 1921. A part of the ""Morton Collection"" that was premanently transferred to University of Pennsylvania Museum of Archaelogy and Anthropology in 1997, inn order to facilitate the implementation of NAGPRA. Cranial fragment of a male.",Historic/Chippewa,0,"originally inventoried as culturally unidentifiable subsequently culturally affiliated with the Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Keweenaw Bay Indian Community; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan; Minnesota Chippewa Tribe, Minnesota (Leech Lake Band; Mille Lacs Band; White Earth Band); and Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin."
Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,RedCliff,American Museum of Natural History,Minnesota,Lake,Lake Superior vicinity,N/A,4,0,"At an unknown date, human remains representing a minimum of four individuals were collected by Frances Densmore from the vicinity of Lake Superior, MN. The American Museum of Natural History purchased the remains from Miss Densmore in 1920.",Ojibway/Postcontact,none,
Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,RedCliff,"Beloit College, Logan Museum of Anthropology",Wisconsin,Ashland,Marina site (47As24),LMA 7302,2,9,"In 1975 human remains representing a minimum of one individual (""Burial 2"") were removed from the Marina site (47As24), La Pointe Township, Madeline Island, Ashland County, WI by crews from Beloit College directed by Robert J. Salzer under the terms of an agreement between Beloit College and the Interagency Archeological Services branch of the National Park Service. In 1977, workers installing a sewer line removed the remains of another individual from the site (""Burial 12""), along with nine associated copper bracelets.",Lake Superior Ojibwa,copper bracelets,"culturally affiliated with the Bad River Band of Lake Superior Indians of the Bad River Reservation, Wisconsin; Lac Courte Oreilles Band of Lake Superior Chippewaa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewaa Indians of the Lac du Flambeau Reservation of Wisconsin; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin;  St. Croix Chippewa Community of Wisconsin; and Sakaogon Chippewa Community, Wisconsin"
Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,RedCliff,"Beloit College, Logan Museum of Anthropology",Wisconsin,Langlade,Pine Point site(47Lg21),LMA 21493W,1,0,"In 1968 or earlier, human remains representing a single individual were recovered during installation of a septic tank with a backhoe at the Pine Point Resort, Pickerel Lake, Ainsworth, Langlade County, WI. No known individual was identified.  No associated funerary objects were noted, althrough the find was recorded as ""Historic Indian"", suggesting funerary objects may have been present. The Pine Point site was surveyed and recored as 47Lg21 (LMA 21493W), in conjunction with the 1968 Wild Rivers Project Site Survey, directed by Dr Rover J. Salzer, Beloit College Professor of Anthropology. The owners of the Pine Point Resort donated the recovered remains to the Logan Museum of Anthropology in 1968.",Ojibwa and Menominee,none,"culturally affiliated with the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Menominee Indian Tribe of Wisconsin; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; St. Croix Chippewa Community, Wisconsin; and Sokaogon Chippewa Community, Wisconsin"
Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,RedCliff,Rhinelander High School,Wisconsin,Oneida,Lake Nokomis area,N/A,1,0,"In approximately 1969, human remains representing a minimum of one individual were removed from the Lake Nokomis area by an unknown individual","2,500-3,000 yrs old",,"published in FR 3/5/2009 culturally affiliated with the Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bois Forte Band (Nett Lake) fo the Minnesota Chippewa Indians, Minnesota; Fond du Lac Band of the Minnestoa Chippewa Indians, Minnesota; Grand Portage Band of the Minnesota Chippewa Indians, Minnesota; Keeweenaw Bay Indian Community. Michigan; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Indians, Minnesota; Mille Lacs Band of the Minnesota Chippewa Indians, Minnesota; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; St. Croix Chippewa Indians of Wisconsin; Sokaogon Chippewa Community, Wisconsin; and the White Earth Band of the Minnesota Chippewa Indians, Minnesota."
Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,RedCliff,"Wisconsin Historical Society, Museum Division",Wisconsin,Ashland,Madeline Island,Catalog #: 7302.1-5 Accession #: 47 As-24 [73302.1-5],1,1,"Excavated by Robert J. Salzer and Robert A. Birmingham in the 1970s. Collection was at the Logan Museum of Anthropology, Beloit College until 1993 when it was supposedly transferred to the WHS Madeline Island Museum. Logan Museum curators found the reamins in 2008 boxed along with unprocessed soil sampls. Logan Museum transferred the reamins to the WHS, who had clear title to all the collections, including these remains.",,"a soil matrix, which includes within it a textile fragment, trade beads, nail fragments, and metal fragments","published in the FR 8/24/2010 culturally affiliated with the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin, and Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin"
Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,RedCliff,"Wisconsin Historical Society, Museum Division",Wisconsin,Ashland,"Grant's Point Chippewa Cemetery, State Site ID: 47-AS-0012",N/A,2,31,"Excavated by Leland Copper a nd crew from Hamline University during excavations of the Grant's Point area of Madeline Island. Object ID: 2009.35.AS12 C3584-C3588, C3590-C3594,
C3596-3600; 2009.35.AS12 C3589,
C3605-C3608, C3610-C3615; 2009.35.AS12
C3542-C3583; & 2009.35.AS12 C3601-C3604",Ojibwe,"4 brass buttons; 5 silver brooches; collection of glass beads; asemblage of fabric fragments; lead & silver brooch fragments; lot of hide, fabric, & beaded decoration; basket fragment; silver right; musket ball; 3 gunflint flakes; fire striker; tweezers; 2 awl fragments; knife blade; shot & brooch mold; lead fragment; lot of birchbark fragments; lot of wood fragments & nails; kettle bail; lot of scrapings from kettle; brass pail; tin pan","culturally affiliated with the Bad River Band of the Lake Superior Tribe of Chippewaa Indians of the Bad River Reservation, Wisconsin, and the Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin"
Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,RedCliff,"Wisconsin Historical Society, Museum Division",Wisconsin,Door,Rock Island Site II,None,12,228,Excavated by Lawrence University and Ronald J. and Carol I. Mason in 1969-1973. The remains are under the control of the Wisconsin Historical Society but in the possession of Lawrence University and have been in their possession since excavation; it was only recently determined that they were under the Historical Society's control.,Middle Woodland period to Historic times,"14 lots of wood fragments from coffins, 20 lots of beads, 3 samples of red ochre, 2 spoons, 2 samples of vermilion, 1 polish pebble, 7 brass trade kettles, 3 unidentifiable objects, 1 cut and polish shell, 1 lot of silver brooches, 18 individual brooches, 6 silver brooches attached to a fabric fragment, 10 earrings, 1 bell or cup, 3 pendants, 1 wooden paint box, 1 perforated elk tooth, 1 lot of tinklets, 5 individual tinklers, 1 thimble, 10 lots of textile fragments, 1 silver cross, 4 armbands, 5 knives, 1 weasel skull and mandible, 1 lot of burned faunal remains, 3 firesteels, 2 awls, 1 catlinite pipe, 2 necklaces, 7 Jesuit rings, 2 samples of charred organic materials, 1 musket, 1 French perfume bottle, 6 gunflints, 1 musket ball, 4 pieces of shot, 2 hairpullers, 1 mirror in shards, 1 sheet of folded brass, 1 kettle handle, 1 pipe tomahawk heada, 1 lot of nails, 1 lot of bird bone tubes, 1 lot of antler fragments, 2 bells, 8 scraps of brass, 8 pieces of brass wire, 1 piece of cut iron, 1 piece of lead, 2 pieces of worked wood, 3 silver cylinders, 1 embellished antler tine, 1 carved stone, 2 pot sherds, 20 flint chips, 1 bone comb, 2 ear ornaments, 1 hafted iron ax, 1 cup, 1 French pistol, 2 brass bells, 8 bracelets, 1 limestone cobble, and 1 plaque",Amended inventory received July and Dec 2016. This site is under control of WHS in the possession of Lawrence University. Culturally affiliated with the Tribes of the notice
"Forest County Potawatomi Community of Wisconsin Potawatomi Indians, Wisconsin",ForestCountyPotawatomi,"Oregon State Univ., Dept. of Anthropology",Illinois,Randolph,Unknown,Accession #: UNKNO Catalog #: RA0--0001 through RA0--0016,2,0,"Donated to Anthropology Department, OSU in 1976, by the son of Dr. George Karl Neumann; Dr. Neumann worked as a physical anthropologist for Indiana State University, Terre Haute, IN",,none,"originally inventoried as CUI subsequently culturally affiliated with the Absetee Delaware Tribe of Oklahoma; Citizen Potawatomi Nation, Oklahoma; Forest County Potawatomi Community, Wisconsin; Hannahville Indian Community, Michigan; Miami Tibe of Oklahoma; Osage Nation, Oklahoma; Peoria Tribe of Indians of Oklahoma; Prairite Band of Potawatomi Nation, Kansas; and Quapaw Tribe of Indians, Oklahoma"
"Forest County Potawatomi Community of Wisconsin Potawatomi Indians, Wisconsin",ForestCountyPotawatomi,"Oregon State Univ., Dept. of Anthropology",Illinois,White,Ethel R. Wilson Site,Accession #: UNKNO Catalog #: WHO--0002,1,0,"Donated to Anthropology Department, OSU in 1976, by the son of Dr. George Karl Neumann; Dr. Neumann worked as a physical anthropologist for Indiana State University, Terre Haute, IN",,none,"culturally affiliated with the Absetee Delaware Tribe of Oklahoma; Citizen Potawatomi Nation, Oklahoma; Forest County Potawatomi Community, Wisconsin; Hannahville Indian Community, Michigan; Miami Tibe of Oklahoma; Osage Nation, Oklahoma; Peoria Tribe of Indians of Oklahoma; Prairite Band of Potawatomi Nation, Kansas; and Quapaw Tribe of Indians, Oklahoma"
"Forest County Potawatomi Community of Wisconsin Potawatomi Indians, Wisconsin",ForestCountyPotawatomi,"Michigan Dept. of Talent and Econ. Dev, Michigan State Housing Dev. Authority, SHPO",Michigan,Lenawee,Walker Tavern (20LE101),FA-155-75,1,18,"In 1975, humans remains of one individual were gifted to the museum by Rev. Frederick Hewitt. Collected from a possible highway construction projection a few fmiles from the Walker Tavern according to a 1966 interview with the daughter of Rev. Hewitt. These remains are suspected to belong with nine other sets of human remains reburied at Walker Tavern.","Potawatomi, mid-eighteenth century (ca. 1750-1780 AD)",FA-882-74 1 pewter spoon FA-883-74 1 bottle FA-884-74 1 oval stone FA-885-74 1 deer mandible and three loose teeth FA-886-74 1 lot of fur pieces with tassels wrapped in porcupine quill FA-887-74 1 silver armband FA-888-74 1 wooden bowl or toy canoe FA-889-74 1 lot of wool scraps FA-890-74 1 lot of linen scraps FA-891-74 1 silver armband FA-892-74 1 copper or brass kettle fragment FA-893-74 1 iron knife blade FA-894-74 1 lot of very small bone chips FA-895-74 167 shell and glass beads FA-897-74 1 pewter bowl,"collection was held by the State Museum in the 1990's. Under control of the SHPO and MI State Housing Authority. Culturally affiliated with the Citizen Potawatomi Nation, Oklahoma; the Forest County Potawatomi Community, Wisconsin; the Hannahville Indian Community, Michigan; the Pokagon Band of Potawatomi Indians, Michigan and Indiana; and the Prairie Band Potawatomi Nation. Revised inventory rcvd Mar 2018 to increase afo count"
"Forest County Potawatomi Community of Wisconsin Potawatomi Indians, Wisconsin",ForestCountyPotawatomi,Univ. of Pennsylvania Museum of Archaeology and Anthropology,Michigan,Unknown,Unknown,Cat #: L-606-0657,1,0,"At an unknown date prior to 1839, human remains representing, at minimum, one individuals (UPM #: 97-606-657) were obtained by Dr. Jospeh Walker, of the United States Army while he was stationed there (Morton 1839: 186). Dr. Walker subsequently sent the remains to Dr. Samuel G. Morton for inclusion in his collecction of human crania from around the world. The human remains are represented by a cranium and mandible of a single male individual 30-40 years of age. The condition of the remains suggests they were not buried. No known individuals were identified.",Historic (probably),none,"originally inventoried as CUI subsequently culturally affiliated with the Citizen Potawatomi Nation, Oklahoma; Forest County Potawatomi Community, Wisconsin; Hannahville Indian Community, Michigan; Match-e be-nash-she-wish Band of Pottawatomi Indians of Michigan; Nottawaseppi Huron Band of the Potawatomi, Michigan (previously listed as the Huron Potawatomi, Inc.); Prairie Band of Potawatomi Nation; Pokagon Band of Potawatomi Indians. Repatriated inn 2018."
"Forest County Potawatomi Community of Wisconsin Potawatomi Indians, Wisconsin",ForestCountyPotawatomi,Univ. of Pennsylvania Museum of Archaeology and Anthropology,Michigan,Unknown,Unknown,Cat #: L-606-0737,1,0,"At an unknown date prior to 1840, human remains representing, at minimum, one individuals (UPM #: 97-606-737) were obtained by Dr. Jospeh Walker, of the United States Army while he was stationed there (Morton 1839: 186). Dr. Walker subsequently sent the remains to Dr. Samuel G. Morton for inclusion in his collecction of human crania from around the world. The human remains are represented by a cranium and mandible of a single male individual 30-40 years of age. The condition of the remains suggests they were not buried. No known individuals were identified.",Historic (probably),none,"originally inventoried as CUI subsequently culturally affiliated with the Citizen Potawatomi Nation, Oklahoma; Forest County Potawatomi Community, Wisconsin; Hannahville Indian Community, Michigan; Match-e be-nash-she-wish Band of Pottawatomi Indians of Michigan; Nottawaseppi Huron Band of the Potawatomi, Michigan (previously listed as the Huron Potawatomi, Inc.); Prairie Band of Potawatomi Nation; Pokagon Band of Potawatomi Indians. Repatriated inn 2018."
St. Croix Chippewa Indians of Wisconsin,StCroix,"Beloit College, Logan Museum of Anthropology",Wisconsin,Ashland,Marina site (47As24),LMA 7302,2,9,"In 1975 human remains representing a minimum of one individual (""Burial 2"") were removed from the Marina site (47As24), La Pointe Township, Madeline Island, Ashland County, WI by crews from Beloit College directed by Robert J. Salzer under the terms of an agreement between Beloit College and the Interagency Archeological Services branch of the National Park Service. In 1977, workers installing a sewer line removed the remains of another individual from the site (""Burial 12""), along with nine associated copper bracelets.",Lake Superior Ojibwa,copper bracelets,"culturally affiliated with the Bad River Band of Lake Superior Indians of the Bad River Reservation, Wisconsin; Lac Courte Oreilles Band of Lake Superior Chippewaa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewaa Indians of the Lac du Flambeau Reservation of Wisconsin; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin;  St. Croix Chippewa Community of Wisconsin; and Sakaogon Chippewa Community, Wisconsin"
